Iteration,Dimers_Count,GTPs_Count,GDPs-Count,Active Dimers - Count,Inactive Dimers - Count, Current GTPs, Current GDPs, Longest Protofilament Length,Micro Tubule length,Dimers in Main Structure,Dehydrolized Dimers Count
100,300,0,300,0,300,0,0,0,0,0,0
200,300,0,300,0,300,0,0,0,0,0,0
300,300,0,300,0,300,0,0,0,0,0,0
400,300,0,300,0,300,0,0,0,0,0,0
500,300,0,300,0,300,0,0,0,0,0,0
600,300,0,300,0,300,0,0,0,0,0,0
700,300,0,300,0,300,0,0,0,0,0,0
800,300,0,300,0,300,0,0,0,0,0,0
900,300,0,300,0,300,0,0,0,0,0,0
1000,300,0,300,0,300,0,0,0,0,0,0
1100,300,7,291,2,298,0,0,0,0,0,0
1200,300,14,281,5,295,0,0,0,0,0,0
1300,300,16,276,8,292,0,0,0,0,0,0
1400,300,20,268,12,288,0,0,0,0,0,0
1500,300,25,257,17,282,0,0,1,0,0,1
1600,300,22,250,27,272,0,0,1,0,0,1
1700,300,23,244,32,267,0,0,1,0,0,1
1800,300,21,234,44,255,0,0,1,0,0,1
1900,300,20,226,53,246,0,0,1,0,0,1
2000,300,21,221,57,242,0,0,1,0,0,1
